leave_id,employee_id,start_date,end_date,type,status,days
L00001,E0001,2026-01-08,2026-01-08,vacation,approved,1
L00002,E0001,2026-01-21,2026-01-21,sick,approved,1
L00003,E0001,2026-02-12,2026-02-12,vacation,approved,1
L00004,E0001,2026-02-17,2026-02-17,sick,approved,1
L00005,E0001,2026-03-05,2026-03-05,vacation,approved,1
L00006,E0001,2026-04-09,2026-04-09,vacation,approved,1
L00007,E0001,2026-06-09,2026-06-09,vacation,approved,1
L00008,E0001,2026-07-16,2026-07-16,vacation,pending,1
L00009,E0002,2026-01-02,2026-01-02,vacation,approved,1
L00010,E0002,2026-01-19,2026-01-19,vacation,pending,1
L00011,E0002,2026-01-28,2026-01-28,vacation,pending,1
L00012,E0002,2026-03-20,2026-03-20,vacation,approved,1
L00013,E0002,2026-05-11,2026-05-11,vacation,pending,1
L00014,E0002,2026-06-10,2026-06-10,sick,approved,1
L00015,E0002,2026-08-05,2026-08-05,vacation,approved,1
L00016,E0003,2026-01-13,2026-01-13,vacation,approved,1
L00017,E0003,2026-03-05,2026-03-05,sick,approved,1
L00018,E0003,2026-04-08,2026-04-08,vacation,approved,1
L00019,E0003,2026-06-03,2026-06-03,vacation,approved,1
L00020,E0003,2026-06-19,2026-06-19,vacation,approved,1
L00021,E0003,2026-07-24,2026-07-24,vacation,approved,1
L00022,E0003,2026-07-28,2026-07-28,vacation,approved,1
L00023,E0004,2026-02-02,2026-02-02,vacation,approved,1
L00024,E0004,2026-02-05,2026-02-05,vacation,approved,1
L00025,E0004,2026-03-03,2026-03-03,vacation,approved,1
L00026,E0004,2026-03-12,2026-03-12,vacation,approved,1
L00027,E0004,2026-04-30,2026-04-30,vacation,approved,1
L00028,E0004,2026-07-13,2026-07-13,vacation,approved,1
L00029,E0004,2026-08-31,2026-08-31,sick,approved,1
L00030,E0005,2026-01-06,2026-01-06,vacation,approved,1
L00031,E0005,2026-01-21,2026-01-21,vacation,approved,1
L00032,E0005,2026-05-26,2026-05-26,sick,approved,1
L00033,E0005,2026-08-13,2026-08-13,vacation,approved,1
L00034,E0005,2026-08-24,2026-08-24,vacation,approved,1
L00035,E0005,2026-08-25,2026-08-25,vacation,approved,1
L00036,E0006,2026-02-25,2026-02-25,sick,approved,1
L00037,E0006,2026-03-26,2026-03-26,vacation,approved,1
L00038,E0006,2026-06-23,2026-06-23,vacation,approved,1
L00039,E0006,2026-07-15,2026-07-15,vacation,approved,1
L00040,E0006,2026-07-21,2026-07-21,vacation,pending,1
L00041,E0006,2026-08-05,2026-08-05,vacation,approved,1
L00042,E0007,2026-01-26,2026-01-26,vacation,approved,1
L00043,E0007,2026-02-06,2026-02-06,vacation,approved,1
L00044,E0007,2026-03-02,2026-03-02,vacation,approved,1
L00045,E0007,2026-04-08,2026-04-08,sick,approved,1
L00046,E0007,2026-05-13,2026-05-13,vacation,approved,1
L00047,E0007,2026-06-09,2026-06-09,sick,approved,1
L00048,E0007,2026-06-10,2026-06-10,vacation,approved,1
L00049,E0007,2026-07-09,2026-07-09,vacation,approved,1
L00050,E0008,2026-01-14,2026-01-14,vacation,approved,1
L00051,E0008,2026-01-23,2026-01-23,sick,approved,1
L00052,E0008,2026-02-02,2026-02-02,sick,approved,1
L00053,E0008,2026-02-05,2026-02-05,vacation,approved,1
L00054,E0008,2026-02-16,2026-02-16,vacation,approved,1
L00055,E0008,2026-04-28,2026-04-28,vacation,approved,1
L00056,E0008,2026-05-22,2026-05-22,vacation,approved,1
L00057,E0008,2026-06-18,2026-06-18,vacation,approved,1
L00058,E0008,2026-08-05,2026-08-05,vacation,approved,1
L00059,E0008,2026-08-21,2026-08-21,vacation,approved,1
L00060,E0009,2026-02-20,2026-02-20,vacation,approved,1
L00061,E0009,2026-03-02,2026-03-02,sick,approved,1
L00062,E0009,2026-04-20,2026-04-20,vacation,approved,1
L00063,E0009,2026-06-17,2026-06-17,vacation,approved,1
